"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1787.4","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1814.6","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","55 to 59 years","Persons","249","thousands","3","v2091088","1.3.1.17","1808.7","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1468.2","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1413.8","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1412.3","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1466.9","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","60 to 64 years","Persons","249","thousands","3","v2091089","1.3.1.18","1487.3","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","1118.1","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","1080.6","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","1083.9","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","1096.6","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","65 years and over","Persons","249","thousands","3","v2091090","1.3.1.19","1088.7","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","701.8","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","656.6","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","671.4","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","684.5","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","65 to 69 years","Persons","249","thousands","3","v2091091","1.3.1.20","683.1","","","","1"
"2024-06","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","416.3","","","","1"
"2024-07","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","424.0","","","","1"
"2024-08","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","412.5","","","","1"
"2024-09","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","412.2","","","","1"
"2024-10","Canada","2016A000011124","Employment","Both sexes","70 years and over","Persons","249","thousands","3","v2091092","1.3.1.21","405.6","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10951.3","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10999.9","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","11001.6","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10876.4","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","15 years and over","Persons","249","thousands","3","v2091282","1.3.2.1","10900.4","","","","1"
